number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
117,"[[0.93622328 1.49311086]
 [1.43667388 1.74872677]
 [2.06640458 2.80612656]
 [1.69393325 1.98077723]]",0.00390625,1043,500.0
118,"[[0.93650004 1.49358551]
 [1.43703002 1.74949394]
 [2.06704193 2.8063026 ]
 [1.69481342 1.98138901]]",0.001953125,1043,500.0
119,"[[0.936972   1.49387275]
 [1.43728101 1.7498471 ]
 [2.0671088  2.80713407]
 [1.69491561 1.98224376]]",0.0009765625,1536,500.0
120,"[[0.937003   1.49416995]
 [1.43760725 1.75028084]
 [2.06728832 2.80732622]
 [1.69517281 1.98258841]]",0.00048828125,1538,500.0
121,"[[0.93706521 1.49417042]
 [1.43778241 1.75040403]
 [2.06749645 2.80740534]
 [1.69521239 1.9827294 ]]",0.000244140625,1540,500.0
122,"[[0.93714518 1.49421839]
 [1.43781649 1.75051658]
 [2.06750257 2.8074651 ]
 [1.69523272 1.98274133]]",0.0001220703125,1540,500.0
123,"[[0.93721311 1.49428298]
 [1.43782894 1.75054472]
 [2.06752271 2.80754812]
 [1.69529772 1.98276886]]",0.0001,1541,500.0
124,"[[0.93727723 1.49431402]
 [1.43783593 1.75062324]
 [2.0675451  2.80759783]
 [1.69538592 1.98284296]]",0.0001,1541,500.0
125,"[[0.93728461 1.49441352]
 [1.43787258 1.75065883]
 [2.06760986 2.80764792]
 [1.6954408  1.98290154]]",0.0001,1541,500.0
126,"[[0.93728917 1.49443614]
 [1.43789088 1.75074859]
 [2.06768851 2.80769   ]
 [1.69545211 1.98294445]]",0.0001,1542,500.0
127,"[[0.93733476 1.49453205]
 [1.43796329 1.75078123]
 [2.06772618 2.80772843]
 [1.69554804 1.98295711]]",0.0001,1543,500.0
128,"[[0.93738595 1.49461816]
 [1.43799115 1.75081316]
 [2.0677729  2.8078264 ]
 [1.69554986 1.98298967]]",0.0001,1543,500.0
129,"[[0.93748414 1.49471459]
 [1.43805874 1.75083164]
 [2.06782133 2.80783149]
 [1.69558633 1.98305731]]",0.0001,2036,500.0
130,"[[0.93757496 1.49473072]
 [1.43807352 1.75088863]
 [2.06786384 2.80786144]
 [1.69564605 1.98306098]]",0.0001,2038,500.0
131,"[[0.93761321 1.49480181]
 [1.43811992 1.75097194]
 [2.06790678 2.80790438]
 [1.69568424 1.98306695]]",0.0001,2040,500.0
132,"[[0.93770074 1.49484922]
 [1.43812934 1.75103258]
 [2.06793821 2.80792463]
 [1.6957781  1.98312655]]",0.0001,2040,500.0
133,"[[0.93772613 1.49489189]
 [1.4381514  1.75110522]
 [2.06800326 2.80799675]
 [1.69578588 1.98320722]]",0.0001,2041,500.0
134,"[[0.93775292 1.49489984]
 [1.43816372 1.75117668]
 [2.0680146  2.80800117]
 [1.69584673 1.98322942]]",0.0001,2041,500.0
135,"[[0.93784185 1.49498837]
 [1.43820435 1.75121379]
 [2.0680502  2.80808695]
 [1.69590638 1.98331472]]",0.0001,2041,500.0
136,"[[0.9378967  1.49508159]
 [1.43821182 1.75128204]
 [2.06806868 2.80809537]
 [1.69593038 1.9833566 ]]",0.0001,2042,500.0
137,"[[0.93793232 1.4951192 ]
 [1.43821365 1.75132112]
 [2.06809537 2.80818524]
 [1.69601249 1.98344734]]",0.0001,2043,500.0
138,"[[0.93797795 1.49514074]
 [1.43828825 1.75136676]
 [2.06819096 2.80826669]
 [1.69609321 1.98345027]]",0.0001,2043,500.0
139,"[[0.93803642 1.49523992]
 [1.43834386 1.75136976]
 [2.06826091 2.80830285]
 [1.69618685 1.98348765]]",0.0001,2536,500.0
140,"[[0.93807093 1.49526167]
 [1.43834483 1.75142921]
 [2.06832358 2.80831795]
 [1.69624658 1.98352124]]",0.0001,2538,500.0
141,"[[0.93816378 1.49532353]
 [1.43837468 1.75148856]
 [2.06832517 2.80833202]
 [1.69626807 1.98357692]]",0.0001,2540,500.0
142,"[[0.93817244 1.49532447]
 [1.43838582 1.75150494]
 [2.06841817 2.8083358 ]
 [1.6962893  1.98361522]]",0.0001,2540,500.0
143,"[[0.9382471  1.4953316 ]
 [1.43843325 1.75159088]
 [2.06843357 2.80836602]
 [1.69636903 1.98368257]]",0.0001,2541,500.0
144,"[[0.93830295 1.49541198]
 [1.43844002 1.75162506]
 [2.06847539 2.80842708]
 [1.69641592 1.98369324]]",0.0001,2541,500.0
145,"[[0.93833352 1.49545306]
 [1.43850869 1.75164178]
 [2.06849983 2.8085091 ]
 [1.69650446 1.98369482]]",0.0001,2541,500.0
146,"[[0.93840617 1.495527  ]
 [1.43851934 1.75172304]
 [2.06850157 2.80855069]
 [1.6965997  1.9837745 ]]",0.0001,2542,500.0
147,"[[0.93849036 1.49557217]
 [1.4385325  1.75173518]
 [2.06860034 2.80857842]
 [1.69662918 1.98378239]]",0.0001,2543,500.0
148,"[[0.93854011 1.49560831]
 [1.43859163 1.75174133]
 [2.06866659 2.80860629]
 [1.6967205  1.9838048 ]]",0.0001,2543,500.0
149,"[[0.93854299 1.49563636]
 [1.43862559 1.75174679]
 [2.06873425 2.80861726]
 [1.69680243 1.98383642]]",0.0001,3036,500.0
150,"[[0.93861943 1.4957144 ]
 [1.43866777 1.75181431]
 [2.06877574 2.8086979 ]
 [1.69684413 1.9839342 ]]",0.0001,3038,500.0
151,"[[0.93868095 1.49579216]
 [1.43866959 1.75186708]
 [2.0688143  2.80879544]
 [1.69692828 1.98396831]]",0.0001,3040,500.0
152,"[[0.93873465 1.49585444]
 [1.43872037 1.75195388]
 [2.06883357 2.80888615]
 [1.69699587 1.98402179]]",0.0001,3040,500.0
153,"[[0.93876746 1.49588426]
 [1.43878624 1.75204697]
 [2.06889843 2.80897031]
 [1.69703412 1.98410501]]",0.0001,3041,500.0
154,"[[0.93880555 1.49593896]
 [1.43882561 1.75211037]
 [2.06898869 2.80898038]
 [1.69704236 1.9841837 ]]",0.0001,3041,500.0
155,"[[0.93888383 1.49594133]
 [1.43886723 1.75215111]
 [2.06906239 2.80906574]
 [1.69711807 1.98427717]]",0.0001,3041,500.0
156,"[[0.93897723 1.49600985]
 [1.43894533 1.75224913]
 [2.06914011 2.80912541]
 [1.69718112 1.98433443]]",0.0001,3042,500.0
157,"[[0.93904409 1.49610974]
 [1.4390407  1.75225333]
 [2.06916696 2.80917045]
 [1.69727574 1.98442438]]",0.0001,3043,500.0
158,"[[0.93908118 1.49620346]
 [1.43913522 1.75228774]
 [2.069207   2.80920009]
 [1.69736346 1.98452041]]",0.0001,3043,500.0
159,"[[0.93916366 1.49630086]
 [1.43914873 1.75238364]
 [2.06928051 2.80928044]
 [1.69745801 1.98456652]]",0.0001,3536,500.0
160,"[[0.9392451  1.49639691]
 [1.43924615 1.75245808]
 [2.06929206 2.8092844 ]
 [1.69751931 1.98466493]]",0.0001,3538,500.0
161,"[[0.93925426 1.49645007]
 [1.43932642 1.75252085]
 [2.06933912 2.8093246 ]
 [1.69754599 1.98469691]]",0.0001,3540,500.0
162,"[[0.93926008 1.49648883]
 [1.43940312 1.75253176]
 [2.06943062 2.80940827]
 [1.69763689 1.98469924]]",0.0001,3540,500.0
163,"[[0.93932634 1.49652316]
 [1.43941108 1.75262953]
 [2.06943077 2.8094719 ]
 [1.69771132 1.98472837]]",0.0001,3541,500.0
164,"[[0.93939157 1.49657237]
 [1.43944937 1.75265477]
 [2.06951179 2.80949365]
 [1.69780105 1.98476125]]",0.0001,3541,500.0
165,"[[0.93945186 1.49665691]
 [1.43944952 1.75271626]
 [2.06958561 2.80954698]
 [1.69784136 1.9848129 ]]",0.0001,3541,500.0
166,"[[0.93952446 1.49674666]
 [1.43954345 1.75273315]
 [2.06966569 2.80958268]
 [1.69786364 1.98489631]]",0.0001,3542,500.0
167,"[[0.93961623 1.4968345 ]
 [1.43955935 1.75278988]
 [2.06970312 2.80960105]
 [1.69796242 1.98496933]]",0.0001,3543,500.0
168,"[[0.93961789 1.49686476]
 [1.43963651 1.75279542]
 [2.06973928 2.80969107]
 [1.69805311 1.98505171]]",0.0001,3543,500.0
169,"[[0.93971034 1.49694811]
 [1.43969336 1.75288081]
 [2.06981942 2.80977329]
 [1.69806019 1.98512098]]",0.0001,4036,500.0
170,"[[0.9397538  1.49698988]
 [1.43977735 1.75294616]
 [2.0698298  2.80978387]
 [1.69812223 1.98515225]]",0.0001,4038,500.0
171,"[[0.93976637 1.49705375]
 [1.43978355 1.75297063]
 [2.069859   2.80979315]
 [1.69816439 1.98519872]]",0.0001,4040,500.0
172,"[[0.93980603 1.49710996]
 [1.43988308 1.75299121]
 [2.06986168 2.80982077]
 [1.69825006 1.9852157 ]]",0.0001,4040,500.0
173,"[[0.93987913 1.49713233]
 [1.43990104 1.7530659 ]
 [2.06992034 2.80990132]
 [1.69829048 1.98523686]]",0.0001,4041,500.0
174,"[[0.93995888 1.49723121]
 [1.43994559 1.75313698]
 [2.06999001 2.80994292]
 [1.69830809 1.98526628]]",0.0001,4041,500.0
175,"[[0.94001944 1.4972349 ]
 [1.44001026 1.75315424]
 [2.06999772 2.810039  ]
 [1.69832715 1.98530322]]",0.0001,4041,500.0
176,"[[0.94005373 1.49728157]
 [1.44005974 1.75317859]
 [2.07009325 2.81010185]
 [1.69841948 1.98536117]]",0.0001,4042,500.0
177,"[[0.9400776  1.49735213]
 [1.44006005 1.75321773]
 [2.0701446  2.81019106]
 [1.69848334 1.98540385]]",0.0001,4043,500.0
178,"[[0.94013025 1.49739196]
 [1.44008279 1.75323381]
 [2.0702228  2.81025425]
 [1.69853417 1.98543164]]",0.0001,4043,500.0
179,"[[0.94022655 1.4974155 ]
 [1.44009601 1.75326986]
 [2.07023348 2.81030195]
 [1.69857456 1.98549106]]",0.0001,4536,500.0
180,"[[0.94029763 1.497493  ]
 [1.44016279 1.75333274]
 [2.07027204 2.81034775]
 [1.69864761 1.9855302 ]]",0.0001,4538,500.0
181,"[[0.94032181 1.49750626]
 [1.44021878 1.75338004]
 [2.07032552 2.81036342]
 [1.69864823 1.98558311]]",0.0001,4540,500.0
182,"[[0.94038813 1.49754267]
 [1.44027195 1.75346412]
 [2.07033894 2.81043165]
 [1.69865669 1.98565926]]",0.0001,4540,500.0
